reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
67,75,119,7,0,49,5,160.17508070000622,161.17509640000208,161.17509640000208,161.17509640000208,t,0.8738970999984303,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
15,35,13,7,1,50,1,162.07557250000536,163.07502760000352,163.07502760000352,163.07502760000352,l,0.9443730999919353,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,7,2,51,6,164.04184540000279,165.04149270000198,165.04149270000198,165.04149270000198,t,0.8844618999937666,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,7,3,52,4,165.95813920000364,166.95804430000135,166.95804430000135,166.95804430000135,l,2.1605420999985654,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,7,4,53,3,169.14162020000367,170.14121200000227,170.14121200000227,170.14121200000227,l,1.0501202999948873,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
11,30,7,7,5,54,0,171.20814439999958,172.20778920000157,172.20778920000157,172.20778920000157,l,0.6708952999979374,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
27,50,21,7,6,55,2,172.90819580000243,173.9080893000064,173.9080893000064,173.9080893000064,l,0.787888999991992,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
49,60,89,8,0,56,4,174.72442630000296,175.72413440000673,175.72413440000673,175.72413440000673,t,0.851733499999682,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
67,75,119,8,1,57,5,176.60777820000658,177.60766870000225,177.60766870000225,177.60766870000225,t,0.8585757999971975,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
78,80,162,8,2,58,6,178.49088680000568,179.4910658000008,179.4910658000008,179.4910658000008,t,0.6285083999973722,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
40,55,62,8,3,59,3,180.1411533999999,181.14107250000234,181.14107250000234,181.14107250000234,l,0.7454409999991185,None,543374,001,2023-11-03_12h03.16.497,delaydiscounting,2023.1.3,59.86672469844305,
